,LIMIT_BAL,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEF_PAY,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
0,220000,38,1,2,2,0,0,0,171784,177468,173233,176859,182393,187446,10000,0,8000,10000,8000,12000,0,0,1,1,0,0,0,0,1,0,0
1,50000,34,0,0,0,0,0,0,43796,44423,29980,30000,0,0,2100,1200,1000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2,100000,27,0,0,0,0,0,0,82609,81989,82466,78234,75615,76849,3106,3000,2805,2739,3085,2958,0,1,0,0,1,0,0,0,0,1,0
3,320000,48,0,0,0,0,0,0,25840,13260,13217,17967,-13,-13,13326,13289,18064,0,0,0,0,1,0,1,0,0,0,0,1,0,0
4,440000,37,0,0,0,0,0,0,186061,232558,312398,222336,223882,130672,50000,100448,7015,6422,6086,4000,0,1,0,1,0,0,0,0,0,1,0
5,200000,40,1,0,0,0,0,0,0,114558,1898,849,-171,14686,114558,3796,849,0,14857,0,0,0,1,1,0,0,0,0,1,0,0
6,360000,32,0,0,0,0,0,0,317024,313710,299059,281436,274358,270877,11200,12112,11500,9600,10005,9651,0,0,1,1,0,0,0,0,1,0,0
7,320000,45,0,0,0,0,0,0,37361,21796,10798,9198,2314,14497,21903,10832,9244,2325,14568,29249,0,1,0,1,0,0,0,0,1,0,0
8,90000,34,0,0,0,0,0,0,53105,54154,55683,56798,58508,63177,2525,3000,2637,3242,6783,0,0,1,0,0,1,0,0,0,1,0,0
9,360000,51,0,0,0,0,0,0,38000,25000,0,0,0,0,25000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
10,380000,39,0,0,0,0,0,0,307388,280090,249018,252496,253331,238051,12936,9190,9000,8100,8100,8000,0,0,1,0,1,0,0,0,1,0,0
11,400000,30,0,0,0,0,0,0,634,5939,6624,8004,10390,21325,5939,2624,3004,3090,11325,3282,0,0,1,1,0,0,0,0,0,1,0
12,20000,23,0,0,0,0,2,2,20030,18808,17080,18293,18752,19195,1600,1300,1500,900,900,787,0,0,1,0,0,1,0,0,1,0,0
13,320000,38,0,0,0,0,0,0,3872,5409,16770,83490,0,52281,5409,16778,83490,0,52281,15643,0,1,0,1,0,0,0,0,0,1,0
14,250000,28,0,0,0,0,0,0,22303,51749,186394,9458,6620,10040,51762,186398,9467,6620,10040,8960,0,1,0,0,1,0,0,0,0,1,0
15,230000,30,0,0,0,0,0,0,105105,51584,44005,35161,24985,25176,2068,1894,1466,1018,1136,503,0,1,0,0,0,1,0,0,1,0,0
16,220000,54,0,0,0,0,0,0,8727,2553,147,0,0,0,3011,147,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
17,200000,27,0,0,0,0,0,0,137266,137888,136545,116549,109622,111113,5212,5065,4005,3900,4003,4306,0,1,0,0,1,0,0,0,0,1,0
18,160000,41,0,0,0,0,0,0,2392,316,416,416,416,2606,316,416,416,416,2606,316,0,0,1,0,0,1,0,0,1,0,0
19,330000,49,0,0,0,0,0,0,217148,218414,216225,181352,181172,179835,7849,7919,6198,6525,6523,6122,0,1,0,0,0,1,0,0,1,0,0
20,20000,41,0,0,2,0,0,0,19080,20303,19302,19897,19895,20313,3000,0,1311,699,725,711,0,0,1,0,0,1,0,0,0,1,0
21,200000,24,0,0,0,0,0,0,19326,20330,21362,22000,2000,950,1330,1362,1000,2000,950,0,0,0,1,0,1,0,0,0,0,1,0
22,360000,28,0,0,0,0,0,0,20223,52962,3978,1743,2828,50537,53228,3997,1750,2853,51041,3219,0,1,0,1,0,0,0,0,0,1,0
23,70000,35,0,0,2,2,2,2,27915,31009,31914,32394,31574,34053,3577,1700,1300,0,3000,1385,0,1,0,0,0,1,0,0,1,0,0
24,110000,57,0,0,0,0,0,0,16090,17522,18426,19117,19655,20329,2000,1500,1000,1000,1000,1000,0,0,1,1,0,0,0,0,1,0,0
25,70000,26,1,2,2,2,0,0,71160,67381,72192,70444,71900,0,0,6516,0,3300,0,500,0,1,0,0,1,0,0,0,0,1,0
26,140000,30,0,0,0,0,0,2,106526,85019,82784,81458,86227,84646,4000,3000,4000,7000,0,4000,0,0,1,0,1,0,0,0,1,0,0
27,130000,28,0,0,0,0,0,0,91092,94581,94580,30000,0,0,5000,3000,4000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
28,100000,29,0,0,0,0,0,0,48065,49189,50746,51158,49226,51211,1900,2400,1800,1800,2800,2100,0,0,1,0,1,0,0,0,1,0,0
29,220000,46,0,0,0,0,0,0,104603,107850,112108,113520,101164,88354,5000,6000,5000,3649,3580,4000,0,0,1,0,0,0,1,0,0,1,0
30,270000,35,2,0,0,0,0,0,128442,131185,134297,208396,106524,104447,6300,6800,4000,4200,7000,3000,0,0,1,1,0,0,0,0,1,0,0
31,30000,38,0,0,2,2,2,2,29770,27400,28935,28934,30313,30330,6000,2273,780,2635,1033,611,0,1,0,0,1,0,0,0,0,1,0
32,220000,42,0,0,0,0,0,0,285,825,0,1230,3227,3820,825,0,1230,3227,3820,3650,0,1,0,0,0,1,0,0,1,0,0
33,20000,33,0,0,0,0,0,0,11635,12604,12870,12726,13336,2496,2000,1308,1000,1000,50,0,0,0,1,0,1,0,0,0,0,1,0
34,200000,37,0,0,0,0,0,0,11572,52799,19583,20632,3142,21253,55291,25120,25118,36,27107,43215,0,1,0,1,0,0,0,0,1,0,0
35,180000,35,0,0,0,0,0,0,104335,108156,108874,111568,113817,116422,5500,4000,4500,4200,4500,4500,0,0,1,1,0,0,0,0,1,0,0
36,120000,47,1,2,2,2,2,2,121400,123055,118030,122443,120370,123766,7352,0,8990,0,9000,0,0,0,1,0,0,1,0,0,0,1,0
37,30000,49,3,2,2,2,2,2,26319,27404,27769,28227,28642,28042,1800,1100,1200,1000,0,2200,0,1,0,0,1,0,0,0,1,0,0
38,300000,31,0,0,0,0,0,0,331,331,331,331,-1,199,332,332,332,0,200,0,0,0,1,0,0,1,0,0,1,0,0
39,50000,54,0,4,3,2,3,2,1126,1113,1092,1415,1115,569,0,0,323,0,0,1188,0,0,1,0,1,0,0,0,0,1,0
40,300000,34,0,0,0,0,0,0,19357,5000,3744,8059,3425,11860,5032,3744,8059,3425,11860,7595,0,0,1,1,0,0,0,0,0,1,0
41,130000,29,0,0,0,0,0,0,67260,69269,72276,74347,77259,78403,4000,5000,4347,5000,3038,2135,0,0,1,0,1,0,0,0,1,0,0
42,130000,38,0,0,0,0,0,0,780,0,11440,3752,1824,390,0,11440,3752,1824,390,390,0,1,0,0,1,0,0,0,1,0,0
43,110000,31,2,2,3,3,2,0,279,279,279,279,129,179,0,0,0,0,200,0,0,1,0,0,1,0,0,0,0,1,0
44,50000,50,1,2,0,0,0,0,50175,48275,49646,44051,45912,45383,0,7775,3000,3000,5000,3000,0,0,1,1,0,0,0,0,1,0,0
45,140000,25,0,0,0,0,0,0,23409,24725,26006,26771,28179,29746,2000,2000,1500,2000,2200,2000,0,0,1,1,0,0,0,0,0,1,0
46,280000,45,0,0,0,0,0,0,159633,149747,138933,128216,216598,103119,7000,6500,6500,3994,4000,3500,0,0,1,0,1,0,0,0,1,0,0
47,140000,40,0,0,0,0,0,0,138389,110701,83468,41202,41687,36335,5148,3216,2003,3000,3041,5056,0,0,1,0,1,0,0,0,1,0,0
48,50000,33,0,0,0,0,0,0,47834,47821,48442,42550,16324,17556,1866,2007,1915,589,1500,1000,0,1,0,0,0,1,0,0,0,1,0
49,190000,25,0,0,0,0,0,0,106223,103922,106082,95645,89762,91835,7500,16027,9000,2919,3220,22000,0,0,1,1,0,0,0,0,0,1,0
50,180000,29,0,0,0,0,0,0,151652,146805,143134,136777,133938,133723,6000,7000,5000,5000,5000,4679,0,0,1,0,1,0,0,0,0,1,0
51,130000,27,0,0,0,0,0,0,76885,79106,81231,81983,83773,85532,3500,4000,3000,3146,3260,3200,0,0,1,0,1,0,0,0,1,0,0
52,480000,44,0,0,0,0,0,0,29112,43015,17223,10127,8416,14658,43111,17223,10135,8416,14658,27350,0,1,0,0,1,0,0,0,1,0,0
53,250000,45,0,0,0,0,0,0,98015,100706,35960,26244,26690,31222,4541,1820,1500,1000,5000,3000,0,1,0,0,0,1,0,0,0,1,0
54,90000,42,0,0,0,0,0,0,390,0,-390,-780,780,0,0,0,0,1560,0,0,0,0,1,0,1,0,0,0,1,0,0
55,150000,29,0,0,0,0,0,0,108756,152194,105290,149530,146455,141711,46980,64890,122080,106625,141711,138195,0,1,0,1,0,0,0,0,0,1,0
56,60000,24,0,0,0,0,0,0,35138,35776,34783,32158,28991,28434,1553,2000,1508,1080,1003,1000,0,0,1,1,0,0,0,0,0,1,0
57,360000,33,0,0,0,0,0,0,364367,365353,346416,261694,230654,201528,14050,11992,8581,7991,9083,8000,0,0,1,1,0,0,0,0,1,0,0
58,140000,30,0,0,0,0,0,0,13626,21399,27923,32330,33374,38588,8399,6923,5330,2074,5588,20290,0,0,1,1,0,0,0,0,0,1,0
59,500000,27,0,0,0,0,0,0,73798,74781,75559,76426,56197,42998,4794,5560,2426,3521,1641,913,0,0,1,1,0,0,0,0,0,1,0
60,110000,25,1,2,2,0,0,0,60491,61874,56386,44181,35538,25417,3000,31,3000,1500,2000,1000,0,0,1,1,0,0,0,0,0,1,0
61,320000,31,0,0,0,0,0,0,3615,3707,5406,3144,1644,1925,3707,5406,3157,1644,1925,0,0,0,1,0,1,0,0,0,0,1,0
62,200000,39,0,0,0,0,0,0,178665,133266,95836,85635,66137,30410,3677,2441,1854,1567,5000,1953,0,0,1,0,1,0,0,0,1,0,0
63,100000,35,0,0,0,0,0,0,106229,98217,42482,43326,44235,45498,3000,1707,1551,1607,2000,2000,0,0,1,0,1,0,0,0,1,0,0
64,280000,26,0,0,0,0,0,0,25989,27052,28111,29138,29852,30717,1800,1800,1800,1500,1500,1500,0,0,1,0,1,0,0,0,0,1,0
65,130000,29,1,0,0,0,2,0,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,0,1,0,0,1,0,0,0,1,0
66,230000,36,0,0,0,0,0,0,140,358,285,219,415,142,358,285,219,416,142,3000,0,0,1,0,1,0,0,0,0,1,0
67,20000,33,0,0,0,0,0,0,18330,17797,18731,19610,18980,38766,1291,1324,1302,672,701,788,0,1,0,0,1,0,0,0,0,1,0
68,150000,25,0,0,0,2,0,0,78823,80514,87096,84806,85822,87504,3000,7900,0,3300,3200,3300,0,0,1,1,0,0,0,0,0,1,0
69,70000,27,0,0,0,0,0,0,157,157,157,157,307,507,157,157,157,307,507,357,0,0,1,1,0,0,0,0,0,1,0
70,100000,32,0,0,0,0,0,0,4270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
71,140000,27,0,0,0,0,0,0,776,0,776,380,1157,768,0,1552,380,1157,783,388,0,1,0,1,0,0,0,0,0,1,0
72,400000,38,0,0,0,0,0,0,3697,3600,1354,5322,5103,2077,1000,1354,5322,6,2386,9085,0,0,1,0,1,0,0,0,1,0,0
73,120000,36,0,0,0,0,0,2,91914,94638,96290,97913,102959,104872,4260,4371,4425,7900,4000,0,0,0,1,0,0,1,0,0,1,0,0
74,310000,39,0,0,0,0,0,0,16577,1361,2716,824,757,842,1361,3146,824,757,842,13436,0,1,0,1,0,0,0,0,1,0,0
75,120000,39,0,0,0,0,0,0,32598,51662,30285,24879,29479,27553,20092,10000,6000,5000,7553,14587,0,0,1,1,0,0,0,0,1,0,0
76,150000,34,0,0,0,0,0,0,62854,50558,52738,53747,55271,57250,5000,3000,2500,3000,3000,4870,0,1,0,1,0,0,0,0,0,1,0
77,220000,33,0,0,0,0,0,0,9649,8300,1590,1341,8171,14253,8300,1590,1341,8171,14253,3513,0,0,1,0,1,0,0,0,1,0,0
78,260000,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4012,0,1,0,0,0,1,0,0,0,1,0
79,210000,29,0,0,0,0,0,2,871,27371,871,871,2042,1021,27371,871,871,2042,0,1666,0,0,1,1,0,0,0,0,0,1,0
80,290000,42,0,0,0,0,0,0,768,42863,2632,11767,4684,3685,42863,2632,11780,4684,3685,4352,0,0,1,1,0,0,0,0,0,1,0
81,180000,35,0,0,0,0,0,0,0,0,0,2072,-28,-28,0,0,2072,0,0,0,0,0,1,0,1,0,0,0,0,1,0
82,30000,22,0,0,0,0,0,0,2293,3158,5547,3312,3145,3022,1009,5572,3321,3154,3031,3339,0,0,1,0,1,0,0,0,0,1,0
83,80000,28,0,0,0,0,0,0,10394,86115,77955,49955,47700,48689,77900,3694,1694,1454,1499,1711,0,1,0,0,1,0,0,0,0,1,0
84,80000,52,0,0,2,2,0,0,27308,29536,31756,30946,31830,0,3000,3000,0,1700,0,0,0,1,0,0,0,1,0,0,1,0,0
85,60000,44,0,0,0,0,0,0,58216,60193,57815,50054,27535,22962,3000,2488,2000,1000,2000,3000,0,1,0,0,1,0,0,0,1,0,0
86,50000,22,0,0,0,0,0,0,22854,31329,23927,0,83,20083,9000,1507,0,83,20000,600,0,0,1,0,0,1,0,0,1,0,0
87,20000,27,0,0,0,0,0,0,15248,16255,17282,18293,18661,20157,1265,1292,1303,671,1800,0,0,0,1,0,1,0,0,0,0,1,0
88,280000,31,0,0,0,0,0,0,14697,4492,1415,15251,316,316,4501,2343,15289,316,316,3179,0,0,1,1,0,0,0,0,0,1,0
89,140000,33,0,0,0,0,0,0,87713,88906,88736,91287,91057,91538,5000,5000,5000,5000,3500,3500,0,0,1,1,0,0,0,0,0,1,0
90,150000,34,1,2,2,0,0,0,147833,148066,142163,135075,135309,135165,6130,27,4610,5000,5000,3760,0,0,1,0,1,0,0,0,1,0,0
91,10000,34,0,0,0,0,0,0,9178,7692,9484,10004,10084,9936,1500,2257,1200,500,500,600,0,1,0,0,1,0,0,0,0,1,0
92,150000,32,0,0,0,0,0,0,148352,151267,143254,137379,35290,1200,5210,5212,4610,706,1200,0,0,1,0,0,0,1,0,0,0,1,0
93,30000,29,0,0,2,0,0,0,22501,20210,8762,6200,0,0,2429,5,1062,0,0,0,0,0,1,0,1,0,0,0,0,1,0
94,110000,32,0,0,0,0,0,0,60558,30900,0,0,0,0,1900,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
95,120000,44,0,0,0,0,0,0,16735,18150,19528,19065,18617,21381,2000,2000,2000,1000,3000,2000,0,0,1,0,0,1,0,0,1,0,0
96,50000,63,2,2,2,2,0,0,51432,50316,50866,48194,47233,50224,0,3600,0,3000,5001,2000,0,0,1,0,0,1,0,0,0,1,0
97,150000,32,0,0,0,0,0,0,83275,84220,77956,77682,52300,56223,3006,3000,2000,222,11170,5000,0,0,1,1,0,0,0,0,0,1,0
98,110000,64,0,0,0,0,0,0,83050,85550,76793,13062,12609,12638,4000,3275,3028,3000,2000,2000,0,0,1,0,0,1,0,0,1,0,0
99,290000,35,0,0,0,0,0,0,33278,33694,32453,27981,14096,10240,1600,1700,2015,2000,1000,1000,0,0,1,0,0,0,1,0,0,1,0
100,340000,39,0,0,0,0,0,0,66623,61474,57160,58794,61231,62516,2500,2500,2500,3300,2200,3000,0,0,1,0,1,0,0,0,0,1,0
101,370000,47,0,0,0,0,0,0,1289,2408,395,12074,744,4040,2432,397,12133,747,4060,3059,0,0,1,0,1,0,0,0,1,0,0
102,460000,38,0,0,0,0,0,0,21203,21828,13776,8226,12497,4503,21833,13779,8226,12497,4503,5844,0,0,1,1,0,0,0,0,1,0,0
103,440000,33,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,300,0,0,1,1,0,0,0,0,1,0,0
104,400000,31,0,0,0,0,0,0,325,5581,2833,1162,325,325,5581,2833,1162,325,325,325,0,0,1,1,0,0,0,0,1,0,0
105,120000,26,0,0,0,0,0,0,22492,-2018,-718,1282,81988,83665,1534,1300,2000,81899,3200,4000,0,0,1,0,0,1,0,0,0,1,0
106,280000,35,0,0,0,0,0,0,7147,2500,0,0,0,0,2500,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
107,30000,47,0,0,0,0,0,0,25262,24365,5160,6160,5780,4790,1518,1000,1000,0,1000,0,0,0,1,0,0,1,0,0,0,1,0
108,120000,26,1,2,2,0,0,0,3730,5006,4782,6041,6784,6826,1500,0,1500,1000,300,406,0,0,1,1,0,0,0,0,0,1,0
109,20000,22,0,0,0,0,0,0,18390,19760,18570,17604,11973,9517,2000,1376,1383,1000,455,1500,0,0,1,1,0,0,0,0,0,1,0
110,230000,28,0,0,0,0,0,0,326,326,326,326,1176,326,326,326,326,1176,326,776,0,1,0,1,0,0,0,0,0,1,0
